Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
PTPRC	1552480_s_at	0.04458	0.00165634	3.8092655	-1.057508	2.53356017	"protein tyrosine phosphatase, receptor type C"
SFT2D1	232487_at	0.04458	0.00165753	3.8089184	-1.058172	2.35496391	SFT2 domain containing 1
PIK3CG	206369_s_at	0.04458	0.00165282	3.810296	-1.055534	1.93569064	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
SH3GL1P2	1567030_at	0.04458	0.00165333	3.8101487	-1.055817	1.83186525	"SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 2"
IGF1R	203628_at	0.04458	0.00165175	3.8106099	-1.054933	1.54911101	insulin like growth factor 1 receptor
ZMYND8	209048_s_at	0.04458	0.00165381	-3.8100062	-1.056089	-1.27735598	zinc finger MYND-type containing 8
CCT2	201947_s_at	0.04458	0.00165456	-3.8097873	-1.056509	-1.38166096	chaperonin containing TCP1 subunit 2
POLE3	208828_at	0.04458	0.00165228	-3.8104549	-1.05523	-1.39486942	"DNA polymerase epsilon 3, accessory subunit"
SSRP1	200956_s_at	0.04458	0.00165526	-3.8095837	-1.056899	-1.46097529	structure specific recognition protein 1
FYN	216033_s_at	0.04458	0.00165665	-3.8091768	-1.057678	-2.63097766	"FYN proto-oncogene, Src family tyrosine kinase"
ALOX5	214366_s_at	0.04443	0.00163809	3.8146342	-1.047228	2.27803793	arachidonate 5-lipoxygenase
	243098_at	0.04443	0.0016324	3.8163184	-1.044003	2.08391775	
NPAT	211585_at	0.04443	0.00163546	3.815413	-1.045736	2.02014628	"nuclear protein, coactivator of histone transcription"
LST1	214181_x_at	0.04443	0.00163386	3.8158852	-1.044832	1.88081762	leukocyte specific transcript 1
PDE7B	230109_at	0.04443	0.00163919	3.8143075	-1.047853	1.48421491	phosphodiesterase 7B
HOMER1	226651_at	0.04443	0.00163336	3.8160338	-1.044548	1.31671845	homer scaffolding protein 1
RNF38	222660_s_at	0.04443	0.00164237	3.8133683	-1.049652	1.04015945	ring finger protein 38
LARS	222428_s_at	0.04443	0.00164195	-3.8134943	-1.04941	-1.21654235	leucyl-tRNA synthetase
BTN3A2	212613_at	0.04443	0.00163987	-3.8141064	-1.048238	-1.41850884	butyrophilin subfamily 3 member A2
HYOU1	200825_s_at	0.04443	0.00164126	-3.8136966	-1.049023	-1.42282016	hypoxia up-regulated 1
TMEM14A	218477_at	0.04443	0.00163602	-3.8152477	-1.046053	-1.50331758	transmembrane protein 14A
CYB5RL	229605_at	0.04443	0.00164068	-3.8138694	-1.048692	-1.91034035	cytochrome b5 reductase like
SEPT8	208999_at	0.04443	0.00163891	-3.8143928	-1.04769	-1.93465793	septin 8
SIGMAR1	214484_s_at	0.04443	0.00163276	-3.816213	-1.044205	-1.96862041	sigma non-opioid intracellular receptor 1
ATRIP///TREX1	205875_s_at	0.04443	0.00163706	-3.8149375	-1.046647	-2.15706275	ATR interacting protein///three prime repair exonuclease 1
	243870_at	0.04441	0.00162923	3.8172619	-1.042196	2.00392286	
RALB	202101_s_at	0.04439	0.00162749	3.8177788	-1.041206	1.18692333	RALB Ras like proto-oncogene B
COCH	1554242_a_at	0.04439	0.0016278	-3.8176872	-1.041382	-2.4634273	cochlin
ESPL1	204817_at	0.04438	0.00162597	-3.818232	-1.040339	-1.17561781	"extra spindle pole bodies like 1, separase"
BDNF-AS	1567359_at	0.04435	0.00162387	3.8188586	-1.039139	3.18508982	BDNF antisense RNA
FAM35A	220547_s_at	0.04433	0.00162243	-3.8192888	-1.038315	-1.02154202	family with sequence similarity 35 member A
EPN2-IT1///EPN2	241239_at	0.04423	0.00161708	-3.8208869	-1.035256	-2.72182061	EPN2 intronic transcript 1///epsin 2
	1557861_at	0.04422	0.00161597	3.8212212	-1.034616	2.30240675	
EFHD2	222483_at	0.04422	0.00161583	3.8212618	-1.034538	1.88342296	EF-hand domain family member D2
	1555303_at	0.04418	0.00161289	3.8221455	-1.032846	1.70425765	
